No;Pertanyaan;Pil1;Pil2;Pil3;Jawaban
58;Apa fenomena alam yang menyebabkan naiknya permukaan air laut secara periodik?;Gempa bumi;Tsunami;Pasang surut;Pasang surut
59;Apa negara dengan jumlah penduduk terbanyak di dunia pada tahun 2025?;India;Cina;Amerika Serikat;India
60;Apa nama dataran tinggi terbesar di dunia?;Dataran Tinggi Tibet;Dataran Tinggi Colorado;Dataran Tinggi Deccan;Dataran Tinggi Tibet
61;Apa nama gunung tertinggi di Indonesia?;Gunung Kerinci;Gunung Rinjani;Gunung Jaya Wijaya;Gunung Jaya Wijaya
62;Apa sungai terpanjang di Indonesia?;Sungai Kapuas;Sungai Mahakam;Sungai Barito;Sungai Kapuas
63;Apa nama pulau terbesar di Indonesia?;Sumatra;Kalimantan;New Guinea;Kalimantan
64;Apa selat yang memisahkan Pulau Bali dan Lombok?;Selat Bali;Selat Lombok;Selat Sunda;Selat Lombok
65;Apa nama danau vulkanik terbesar di Indonesia?;Danau Toba;Danau Singkarak;Danau Maninjau;Danau Toba
66;Apa nama gunung berapi aktif di Jawa Timur yang terkenal dengan kawahnya?;Gunung Bromo;Gunung Merapi;Gunung Semeru;Gunung Bromo
67;Apa nama kepulauan di Indonesia yang dikenal sebagai pusat keanekaragaman hayati laut?;Kepulauan Seribu;Kepulauan Wakatobi;Kepulauan Derawan;Kepulauan Wakatobi
68;Apa fenomena geografis yang menyebabkan Indonesia rawan gempa bumi?;Cincin Api Pasifik;Arus Monsun;Lempeng Pasifik;Cincin Api Pasifik
69;Apa nama dataran rendah terluas di Sumatra?;Dataran Rendah Batanghari;Dataran Rendah Musi;Dataran Rendah Kapuas;Dataran Rendah Batanghari
70;Apa nama teluk besar di pesisir selatan Jawa?;Teluk Jakarta;Teluk Pelabuhanratu;Teluk Benggala;Teluk Pelabuhanratu
71;Apa nama hewan endemik Indonesia yang dikenal sebagai primata terkecil di dunia?;Orangutan;Tarsius;Komodo;Tarsius
72;Apa nama tumbuhan endemik Indonesia yang dikenal sebagai bunga bangkai?;Rafflesia arnoldii;Anggrek bulan;Edelweis;Rafflesia arnoldii
73;Di pulau mana komodo hewan endemik Indonesia dapat ditemukan?;Sumatra;Komodo;Bali;Komodo
74;Apa nama burung endemik Papua yang terkenal dengan bulu warna-warni?;Cendrawasih;Kakatua;Elang Jawa;Cendrawasih
75;Apa ekosistem laut Indonesia yang dikenal sebagai salah satu pusat keanekaragaman hayati dunia?;Segitiga Terumbu Karang;Teluk Jakarta;Laut Banda;Segitiga Terumbu Karang
76;Apa nama hewan endemik Sulawesi yang merupakan mamalia bertelur?;Anoa;Babi rusa;Kuskus beruang;Kuskus beruang
77;Apa nama tumbuhan endemik Kalimantan yang digunakan sebagai obat tradisional?;Kayu ulin;Kratom;Kayu gaharu;Kratom
78;Apa nama taman nasional di Sumatra yang menjadi habitat badak Sumatra?;Taman Nasional Gunung Leuser;Taman Nasional Way Kambas;Taman Nasional Kerinci Seblat;Taman Nasional Gunung Leuser
79;Apa nama spesies ikan endemik di Danau Poso; Sulawesi?;Ikan badut;Ikan mujair;Ikan bungo;Ikan bungo
80;Apa ancaman utama terhadap keanekaragaman hayati di Indonesia?;Perubahan iklim;Deforestasi;Peningkatan populasi ikan;Deforestasi
81;Apa mineral yang penting untuk menjaga kesehatan tulang selain kalsium?;Magnesium;Fosfor;Besi;Fosfor
82;Apa nama penyakit yang ditandai dengan peradangan pada sendi?;Artritis;Asma;Diabetes;Artritis
83;Berapa jam tidur yang disarankan untuk orang dewasa per malam?;4-5 jam;7-9 jam;10-12 jam;7-9 jam
84;Apa manfaat utama meditasi bagi kesehatan mental?;Meningkatkan kekuatan otot;Mengurangi stres;Meningkatkan nafsu makan;Mengurangi stres
85;Apa nama vitamin yang penting untuk kesehatan kulit dan penglihatan?;Vitamin A;Vitamin C;Vitamin D;Vitamin A
86;Apa penyebab utama penyakit jantung koroner?;Kelebihan gula;Kolesterol tinggi;Infeksi virus;Kolesterol tinggi
87;Apa kebiasaan yang dapat membantu menjaga kesehatan pencernaan?;Minum soda;Makan makanan kaya serat;Kurang tidur;Makan makanan kaya serat
88;Apa nama gangguan kesehatan mental yang ditandai dengan kecemasan berlebihan?;Depresi;Fobia;Skizofrenia;Fobia
89;Apa yang dimaksud dengan hidrasi?;Menjaga keseimbangan cairan tubuh;Meningkatkan kadar gula darah;Mengatur suhu tubuh;Menjaga keseimbangan cairan tubuh
90;Apa nama tes untuk mengukur kadar gula darah?;Glukosa darah;EKG;CT Scan;Glukosa darah
91;Apa nama fenomena alam di Indonesia yang menyebabkan hujan deras berkepanjangan?;Muson;El Nino;La Nina;La Nina
92;Apa nama ekosistem hutan yang mendominasi Kalimantan dan Sumatra?;Hutan hujan tropis;Hutan bakau;Hutan musim;Hutan hujan tropis
93;Apa gunung berapi di Indonesia yang terkenal dengan letusan dahsyat pada tahun 1883?;Gunung Krakatau;Gunung Merapi;Gunung Agung;Gunung Krakatau
94;Apa nama pantai di Bali yang terkenal dengan ombaknya yang cocok untuk berselancar?;Pantai Kuta;Pantai Sanur;Pantai Uluwatu;Pantai Uluwatu
95;Apa nama air terjun tertinggi di Indonesia yang terletak di Sumatera Utara?;Air Terjun Sipiso-piso;Air Terjun Tiu Kelep;Air Terjun Madakaripura;Air Terjun Sipiso-piso
96;Apa nama fenomena alam di Indonesia yang menyebabkan kekeringan ekstrem?;Muson barat;El Nino;La Nina;El Nino
97;Apa nama ekosistem pesisir yang melindungi pantai dari abrasi dan menjadi habitat biota laut?;Terumbu karang;Hutan bakau;Sabana;Hutan bakau
98;Apa nama pulau kecil di Nusa Tenggara Timur yang terkenal dengan pantai merah mudanya?;Pulau Komodo;Pulau Padar;Pulau Pink;Pulau Pink
99;Apa nama fenomena alam di Indonesia yang menghasilkan lumpur panas; seperti di Sidoarjo?;Lumpur Lapindo;Geyser;Vulkanisme;Lumpur Lapindo
100;Apa nama taman nasional di Jawa yang terkenal dengan savana dan populasi banteng?;Taman Nasional Ujung Kulon;Taman Nasional Baluran;Taman Nasional Bromo Tengger Semeru;Taman Nasional Baluran
101;Apa teknologi yang memungkinkan mobil listrik menyimpan energi?;Baterai lithium-ion;Panel surya;Fuel cell;Baterai lithium-ion
102;Apa nama sistem yang digunakan untuk mengidentifikasi wajah melalui kamera?;Facial recognition;Augmented reality;Virtual reality;Facial recognition
103;Apa teknologi yang memungkinkan transfer data super cepat melalui jaringan seluler generasi kelima?;4G;5G;Wi-Fi 6;5G
104;Apa nama perusahaan yang mengembangkan roket reusable untuk misi luar angkasa?;Blue Origin;SpaceX;NASA;SpaceX
105;Apa teknologi yang digunakan untuk menciptakan daging buatan di laboratorium?;Pencetakan 3D;Kultur sel;Realitas virtual;Kultur sel
106;Apa nama alat yang digunakan untuk mendeteksi gelombang gravitasi?;LIGO;GPS;Hubble;LIGO
107;Apa sumber energi terbarukan yang memanfaatkan panas bumi?;Energi geotermal;Energi surya;Energi angin;Energi geotermal
108;Apa teknologi yang memungkinkan interaksi virtual dengan lingkungan digital?;Augmented reality;Blockchain;Quantum computing;Augmented reality
109;Apa nama satelit Indonesia yang digunakan untuk komunikasi dan observasi bumi?;Telkom-4;Lapan-A2;Palapa-D;Lapan-A2
110;Apa tujuan utama teknologi CRISPR-Cas9 dalam bioteknologi?;Mengedit gen;Menghasilkan vaksin;Mendiagnosis penyakit;Mengedit gen
111;Apa teknologi yang memungkinkan alat-alat AI menjadi lebih terintegrasi dalam kehidupan sehari-hari pada tahun 2025?;Machine Learning;Deep Learning;Agentic AI;Agentic AI
112;Teknologi apa yang digunakan untuk mengedit gen secara presisi dan telah menunjukkan kemajuan dalam pengobatan penyakit genetik pada tahun 2025?;PCR;CRISPR-Cas9;RNAi;CRISPR-Cas9
113;Apa manfaat utama dari komputer kuantum dalam penelitian obat-obatan pada tahun 2025?;Meningkatkan kecepatan internet;Mempercepat simulasi perilaku molekul;Meningkatkan resolusi gambar;Mempercepat simulasi perilaku molekul
114;Apa pencapaian terbaru dalam teknologi fusi nuklir pada tahun 2025?;Pemeliharaan plasma selama 1.337 detik;Pembangkit listrik komersial;Penemuan bahan bakar baru;Pemeliharaan plasma selama 1.337 detik
115;Apa yang dimaksud dengan brain-computer interface (BCI) yang sedang diuji klinis pada tahun 2025?;Alat untuk membaca pikiran;Teknologi untuk mengontrol perangkat dengan pikiran;Perangkat untuk meningkatkan memori;Teknologi untuk mengontrol perangkat dengan pikiran
116;Apa aplikasi utama dari metasurfaces dalam teknologi pada tahun 2025?;Enkripsi data dan biosensing;Peningkatan kecepatan internet;Pengembangan bahan baru;Enkripsi data dan biosensing
117;Apa penemuan terbaru dalam baterai padat yang dapat meningkatkan performanya pada tahun 2025?;Penggunaan elektrolit cair;Campuran partikel kecil antara dua elektrolit padat;Penambahan bahan penghantar panas;Campuran partikel kecil antara dua elektrolit padat
118;Apa fitur unik dari aktuator robotik yang dikembangkan pada tahun 2025?;Kemampuan untuk bergerak lebih cepat;Kemampuan untuk mendeteksi dan menyembuhkan kerusakan;Ukuran yang lebih kecil;Kemampuan untuk mendeteksi dan menyembuhkan kerusakan
119;Apa sistem eksoplanet dengan kecepatan tertinggi yang dikonfirmasi pada tahun 2025?;MOA-2011-BLG-262L;TRAPPIST-1;Kepler-452;MOA-2011-BLG-262L
120;Bagaimana polusi udara luar mempengaruhi kualitas udara dalam ruangan menurut penelitian terbaru pada tahun 2025?;Tidak ada pengaruh;Bergantung pada sistem HVAC bangunan;Selalu meningkatkan kualitas udara dalam ruangan;Bergantung pada sistem HVAC bangunan
121;Apa olahraga tradisional Indonesia yang menggunakan bola dari anyaman bambu?;Sepak takraw;Bulu tangkis;Sepak bola;Sepak takraw
122;Apa manfaat utama olahraga lari bagi tubuh?;Meningkatkan kekuatan lengan;Meningkatkan daya tahan jantung;Meningkatkan fleksibilitas sendi;Meningkatkan daya tahan jantung
123;Apa nama cabang olahraga yang melibatkan gerakan di atas balok keseimbangan?;Senam artistik;Senam ritmik;Angkat besi;Senam artistik
124;Berapa jumlah pemain dalam satu tim bola voli di lapangan?;5;6;7;6
125;Apa nama turnamen bulu tangkis internasional yang diadakan di Indonesia?;Indonesia Open;Sudirman Cup;Thomas Cup;Indonesia Open
126;Apa olahraga yang dikenal sebagai "olahraga raja" di Indonesia?;Sepak bola;Pencak silat;Bulu tangkis;Bulu tangkis
127;Apa alat yang digunakan untuk mengukur waktu dalam perlombaan lari?;Stopwatch;Metronom;Kompas;Stopwatch
128;Apa nama teknik dasar dalam pencak silat untuk menyerang dengan kaki?;Tendangan;Sikutan;Pukulan;Tendangan
129;Berapa menit durasi standar satu babak dalam pertandingan sepak bola profesional?;45 menit;30 menit;60 menit;45 menit
130;Apa olahraga air yang melibatkan gerakan sinkron dengan musik?;Renang biasa;Renang indah;Polo air;Renang indah
131;Apa nama olahraga tradisional Indonesia yang melibatkan lompatan melewati tumpukan batu?;Lompat batu;Lompat galah;Lompat jauh;Lompat batu
132;Apa manfaat utama olahraga renang bagi tubuh?;Meningkatkan kekuatan otot seluruh tubuh;Meningkatkan kecepatan lari;Meningkatkan koordinasi mata;Meningkatkan kekuatan otot seluruh tubuh
133;Berapa jumlah pemain dalam satu tim bola basket di lapangan?;5;6;7;5
134;Apa nama cabang olahraga yang menggunakan raket dan bola kecil di atas meja?;Tenis meja;Bulu tangkis;Squash;Tenis meja
135;Apa olahraga bela diri asal Indonesia yang diakui UNESCO sebagai warisan budaya?;Pencak silat;Tarung derajat;Karate;Pencak silat
136;Apa nama turnamen sepak bola antarnegara Asia Tenggara?;Piala AFF;Piala Asia;Piala Dunia;Piala AFF
137;Apa alat pelindung yang wajib digunakan dalam olahraga tinju?;Sarung tangan tinju;Helm;Perisai;Sarung tangan tinju
138;Apa nama teknik dalam bulu tangkis untuk memukul bola dengan keras ke arah lawan?;Smash;Lob;Drop shot;Smash
139;Berapa jumlah set dalam pertandingan bulu tangkis profesional?;2 set;3 set;5 set;3 set
140;Apa olahraga yang melibatkan gerakan akrobatik di atas trampolin?;Senam trampolin;Senam ritmik;Senam artistik;Senam trampolin
141;Apa nama stadion utama di Jakarta yang sering digunakan untuk pertandingan sepak bola internasional?;Stadion Gelora Bung Karno;Stadion Manahan;Stadion Utama Senayan;Stadion Gelora Bung Karno
142;Apa olahraga yang menggunakan papan untuk meluncur di ombak?;Selancar;Skateboard;Windsurfing;Selancar
143;Apa manfaat utama yoga bagi kesehatan?;Meningkatkan fleksibilitas dan relaksasi;Meningkatkan kekuatan lengan;Meningkatkan kecepatan lari;Meningkatkan fleksibilitas dan relaksasi
144;Berapa jumlah babak dalam pertandingan tinju profesional standar?;10 babak;12 babak;15 babak;12 babak
145;Apa nama olahraga tradisional Indonesia yang melibatkan panjat pinang?;Panjat pinang;Lompat batu;Pasang kuda;Panjat pinang
146;Apa cabang olahraga yang menjadi unggulan Indonesia di Olimpiade?;Bulu tangkis;Angkat besi;Panahan;Bulu tangkis
147;Apa nama alat yang digunakan untuk mengukur jarak lompatan dalam lompat jauh?;Meteran;Stopwatch;Kompas;Meteran
148;Apa teknik dasar dalam sepak bola untuk menghentikan bola?;Passing;Dribbling;Trapping;Trapping
149;Apa nama olahraga air yang melibatkan dua tim dengan bola dan gawang?;Polo air;Renang indah;Renang estafet;Polo air
150;Apa nama turnamen internasional angkat besi yang diadakan setiap empat tahun?;Kejuaraan Dunia;Olimpiade;SEA Games;Olimpiade
151;Apa nama olahraga tradisional Indonesia yang melibatkan pertarungan dengan tongkat rotan?;Tarung derajat;Pencak silat;Silek;Debus
152;Apa manfaat utama latihan angkat beban bagi tubuh?;Meningkatkan massa otot;Meningkatkan kecepatan lari;Meningkatkan penglihatan;Meningkatkan massa otot
153;Berapa jumlah pemain dalam satu tim sepak bola di lapangan?;10;11;12;11
154;Apa nama cabang olahraga yang melibatkan memanah target dari jarak tertentu?;Panahan;Angkat besi;Senam ritmik;Panahan
155;Apa nama turnamen bulu tangkis beregu putra internasional?;Thomas Cup;Sudirman Cup;All England;Thomas Cup
156;Apa olahraga yang menggunakan sepeda di lintasan khusus dalam velodrome?;Balap sepeda track;Balap sepeda gunung;BMX;Balap sepeda track
157;Apa nama alat pelindung yang digunakan di lutut dalam olahraga voli?;Knee pad;Elbow pad;Shin guard;Knee pad
158;Apa teknik dalam sepak takraw untuk menyepak bola dengan kaki bagian dalam?;Sepak sila;Sepak kura;Sepak mula;Sepak sila
159;Berapa poin maksimal dalam satu set permainan tenis meja?;11;15;21;11
160;Apa nama olahraga yang melibatkan lompatan dari ketinggian ke air dengan gaya tertentu?;Loncat indah;Renang indah;Polo air;Loncat indah
161;Apa nama stadion di Surabaya yang sering digunakan untuk pertandingan sepak bola?;Stadion Gelora Bung Tomo;Stadion Manahan;Stadion Kanjuruhan;Stadion Gelora Bung Tomo
162;Apa olahraga yang menggunakan alat berupa bola besar untuk digulingkan ke pin?;Bowling;Tenis;Biliar;Bowling
163;Apa manfaat utama latihan kardio seperti bersepeda?;Meningkatkan daya tahan jantung;Meningkatkan kekuatan kaki;Meningkatkan koordinasi tangan;Meningkatkan daya tahan jantung
164;Berapa jumlah ronde dalam pertandingan gulat amatir?;2 ronde;3 ronde;4 ronde;3 ronde
165;Apa nama olahraga tradisional Indonesia yang melibatkan adu ketangkasan dengan kuda?;Pacuan kuda;Pasang kuda;Egrang;Pasang kuda
166;Apa nama cabang olahraga yang menjadi unggulan Indonesia di SEA Games selain bulu tangkis?;Pencak silat;Sepak bola;Renang;Pencak silat
167;Apa nama alat yang digunakan untuk menghitung langkah saat berlari atau berjalan?;Pedometer;Stopwatch;Altimeter;Pedometer
168;Apa teknik dasar dalam bola voli untuk mengumpan bola ke rekan setim?;Passing;Serving;Smashing;Passing
169;Apa nama olahraga yang melibatkan tiga cabang seperti lari; renang; dan bersepeda?;Triatlon;Duathlon;Pentatlon;Triatlon
170;Apa nama turnamen internasional tahunan untuk cabang olahraga tinju amatir?;Kejuaraan Dunia AIBA;Olimpiade;Commonwealth Games;Kejuaraan Dunia AIBA
171;Apa nutrisi yang membantu pembentukan sel darah merah?;Zat besi;Kalsium;Magnesium;Zat besi
172;Apa nama penyakit yang ditandai dengan tulang rapuh akibat kekurangan kalsium?;Osteoporosis;Artritis;Skoliosis;Osteoporosis
173;Berapa kali frekuensi ideal olahraga ringan per minggu untuk orang dewasa?;1-2 kali;3-5 kali;6-7 kali;3-5 kali
174;Apa nama gangguan tidur yang menyebabkan seseorang berhenti bernapas sementara saat tidur?;Insomnia;Sleep apnea;Narkolepsi;Sleep apnea
175;Apa vitamin yang penting untuk meningkatkan sistem kekebalan tubuh?;Vitamin A;Vitamin C;Vitamin E;Vitamin C
176;Apa penyebab utama sakit maag?;Infeksi bakteri Helicobacter pylori;Stres berlebihan;Konsumsi gula berlebihan;Infeksi bakteri Helicobacter pylori
177;Apa kebiasaan yang dapat mencegah dehidrasi saat cuaca panas?;Minum air secara rutin;Makan makanan pedas;Tidur lebih lama;Minum air secara rutin
178;Apa nama gangguan kesehatan mental yang ditandai dengan suasana hati yang sangat rendah?;Depresi;Fobia;Skizofrenia;Depresi
179;Apa manfaat utama konsumsi makanan kaya omega-3?;Meningkatkan kesehatan jantung;Meningkatkan penglihatan;Meningkatkan kekuatan tulang;Meningkatkan kesehatan jantung
180;Apa nama tes untuk mendeteksi masalah jantung melalui aktivitas listrik?;EKG;EEG;CT Scan;EKG
181;Apa mineral yang membantu mengatur tekanan darah?;Kalium;Kalsium;Fosfor;Kalium
182;Apa nama penyakit yang disebabkan oleh gigitan nyamuk Anopheles?;Malaria;Dengue;Chikungunya;Malaria
183;Apa cara terbaik untuk menjaga kesehatan mata?;Mengonsumsi makanan kaya vitamin A;Menghindari olahraga;Mengurangi konsumsi air;Mengonsumsi makanan kaya vitamin A
184;Apa nama gangguan yang menyebabkan nyeri kronis di seluruh tubuh?;Fibromyalgia;Asma;Diabetes;Fibromyalgia
185;Apa manfaat utama tidur yang cukup bagi otak?;Meningkatkan memori dan konsentrasi;Meningkatkan kekuatan fisik;Meningkatkan nafsu makan;Meningkatkan memori dan konsentrasi
186;Apa nama zat dalam makanan yang membantu menurunkan kolesterol?;Serat larut;Lemak jenuh;Gula;Serat larut
187;Apa penyakit yang ditandai dengan gula darah tinggi dalam jangka panjang?;Diabetes;Hipertensi;Anemia;Diabetes
188;Apa kebiasaan yang dapat mencegah infeksi saluran pernapasan?;Memakai masker di tempat ramai;Mengonsumsi antibiotik setiap hari;Minum teh hangat;Memakai masker di tempat ramai
189;Apa nama tes untuk mengukur kepadatan tulang?;Densitometri tulang;X-ray;MRI;Densitometri tulang
190;Apa manfaat utama relaksasi seperti pernapasan dalam untuk kesehatan?;Mengurangi stres;Meningkatkan kekuatan otot;Meningkatkan kadar gula darah;Mengurangi stres
191;Apa nama gangguan psikologis yang ditandai dengan rasa cemas berlebihan tanpa sebab jelas?;Gangguan kecemasan umum;Fobia;Depresi;Gangguan kecemasan umum
192;Apa emosi dasar yang membantu manusia bertahan dari bahaya?;Rasa takut;Kebahagiaan;Kemarahan;Rasa takut
193;Siapa psikolog terkenal yang mengembangkan teori hierarki kebutuhan manusia?;Sigmund Freud;Abraham Maslow;Carl Rogers;Abraham Maslow
194;Apa istilah untuk kemampuan memahami dan mengelola emosi diri sendiri dan orang lain?;Kecerdasan emosional;Kecerdasan intelektual;Kecerdasan sosial;Kecerdasan emosional
195;Apa nama gangguan yang menyebabkan seseorang mengalami perubahan suasana hati ekstrem?;Gangguan bipolar;Skizofrenia;Depresi;Gangguan bipolar
196;Apa teknik relaksasi yang melibatkan fokus pada pernapasan dan kesadaran penuh?;Meditasi mindfulness;Hipnosis;Terapi seni;Meditasi mindfulness
197;Apa istilah untuk ketakutan irasional terhadap sesuatu yang spesifik?;Fobia;Stres;Neurosis;Fobia
198;Apa nama bagian otak yang berperan besar dalam mengatur emosi?;Amigdala;Hipotalamus;Serebelum;Amigdala
199;Apa pendekatan psikologi yang berfokus pada perilaku yang dapat diamati?;Behaviorisme;Psikoanalisis;Humanisme;Behaviorisme
200;Apa nama gangguan yang ditandai dengan kesulitan berkonsentrasi dan perilaku impulsif?;ADHD;OCD;PTSD;ADHD
201;Apa manfaat utama terapi bicara dalam psikologi?;Meningkatkan memori;Mengatasi masalah emosional;Meningkatkan kekuatan fisik;Mengatasi masalah emosional
202;Apa istilah untuk perasaan sedih yang berkepanjangan dan kehilangan minat dalam aktivitas?;Depresi;Stres;Kecemasan;Depresi
203;Apa nama teori yang menyatakan bahwa mimpi adalah cara otak memproses emosi dan pengalaman?;Teori psikoanalisis;Teori kognitif;Teori aktivasi-sintesis;Teori psikoanalisis
